 VARIABLES = X,Y,U,V,sy,w,p
 ZONE     i=         101          j=         101                       F=POINT
  0.340000004       9.99999978E-03  -4.81999572E-03   9.69340399E-05  -2.45165429E-05  0.473360598      -9.87892156E-04
  0.349999994       9.99999978E-03  -5.00384159E-03   9.35493517E-05  -2.54698352E-05  0.491029739      -8.22528789E-04
  0.359999985       9.99999978E-03  -5.18070301E-03   8.98142389E-05  -2.63875299E-05  0.508013546      -6.43583131E-04
  0.370000005       9.99999978E-03  -5.34990057E-03   8.57278792E-05  -2.72661200E-05  0.524246335      -4.51316999E-04
  0.379999995       9.99999978E-03  -5.51075302E-03   8.12890939E-05  -2.81020875E-05  0.539662778      -2.46033102E-04
  0.389999986       9.99999978E-03  -5.66258328E-03   7.64978759E-05  -2.88919018E-05  0.554197848      -2.80912554E-05
  0.399999976       9.99999978E-03  -5.80471661E-03   7.13550471E-05  -2.96320450E-05  0.567787290       2.02099443E-04
  0.409999996       9.99999978E-03  -5.93648572E-03   6.58644276E-05  -3.03190027E-05  0.580367625       4.44067060E-04
  0.419999987       9.99999978E-03  -6.05723215E-03   6.00311978E-05  -3.09493334E-05  0.591876745       6.97276846E-04
  0.429999977       9.99999978E-03  -6.16631331E-03   5.38619133E-05  -3.15196266E-05  0.602254093       9.61121870E-04
  0.439999998       9.99999978E-03  -6.26310147E-03   4.73670298E-05  -3.20265717E-05  0.611441076       1.23493443E-03
  0.449999988       9.99999978E-03  -6.34699548E-03   4.05583705E-05  -3.24669672E-05  0.619381607       1.51795882E-03
  0.459999979       9.99999978E-03  -6.41742162E-03   3.34515789E-05  -3.28377391E-05  0.626022637       1.80936919E-03
  0.469999999       9.99999978E-03  -6.47384021E-03   2.60657544E-05  -3.31359988E-05  0.631314635       2.10826308E-03
  0.479999989       9.99999978E-03  -6.51575346E-03   1.84236342E-05  -3.33590542E-05  0.635211945       2.41365237E-03
  0.489999980       9.99999978E-03  -6.54271245E-03   1.05515937E-05  -3.35044715E-05  0.637673795       2.72446545E-03
  0.500000000       9.99999978E-03  -6.55432092E-03   2.47764547E-06  -3.35700861E-05  0.638664544       3.03956307E-03
  0.509999990       9.99999978E-03  -6.55024126E-03  -5.76419552E-06  -3.35540244E-05  0.638154447       3.35773313E-03
  0.519999981       9.99999978E-03  -6.53020432E-03  -1.41366399E-05  -3.34548022E-05  0.636120081       3.67768644E-03
  0.529999971       9.99999978E-03  -6.49401266E-03  -2.26022166E-05  -3.32712916E-05  0.632544994       3.99807282E-03
  0.539999962       9.99999978E-03  -6.44155079E-03  -3.11174517E-05  -3.30027578E-05  0.627420306       4.31747828E-03
  0.550000012       9.99999978E-03  -6.37278566E-03  -3.96345058E-05  -3.26489426E-05  0.620745063       4.63444693E-03
  0.560000002       9.99999978E-03  -6.28777361E-03  -4.81044481E-05  -3.22100677E-05  0.612526715       4.94747842E-03
  0.569999993       9.99999978E-03  -6.18666736E-03  -5.64772563E-05  -3.16868536E-05  0.602781832       5.25503652E-03
  0.579999983       9.99999978E-03  -6.06971839E-03  -6.46992703E-05  -3.10805226E-05  0.591535866       5.55556919E-03
  0.589999974       9.99999978E-03  -5.93727874E-03  -7.27151055E-05  -3.03928682E-05  0.578823984       5.84751880E-03
  0.599999964       9.99999978E-03  -5.78980613E-03  -8.04692754E-05  -2.96262206E-05  0.564690888       6.12933002E-03
  0.610000014       9.99999978E-03  -5.62786264E-03  -8.79040308E-05  -2.87834828E-05  0.549191117       6.39947178E-03
  0.620000005       9.99999978E-03  -5.45211928E-03  -9.49628884E-05  -2.78681400E-05  0.532388985       6.65643951E-03
